source,bin,x_mid,y_med,y_q25,y_q75,n
SynNetQoS,"(-135.80100000000002, -103.6]",-113.73,3.66,0.06,11.56,19225
SynNetQoS,"(-103.6, -99.3]",-101.43,23.34,8.07,60.87,4745
SynNetQoS,"(-99.3, -95.8]",-97.55,34.615,10.184999999999999,84.78,3886
SynNetQoS,"(-95.8, -92.6]",-94.215,42.01,10.504999999999999,100.33500000000001,3264
SynNetQoS,"(-92.6, -89.6]",-91.15,47.41,12.71,115.43,2853
SynNetQoS,"(-89.6, -86.3]",-87.96,47.85,13.932500000000001,125.4425,2806
SynNetQoS,"(-86.3, -82.8]",-84.66,50.95,14.9,136.8,2541
SynNetQoS,"(-82.8, -79.1]",-81.06,53.63,15.93,146.53,2417
SynNetQoS,"(-79.1, -74.4]",-76.905,54.11,15.81,150.62,2310
SynNetQoS,"(-74.4, -48.4]",-65.1,55.89,15.21,160.57,5953
Vienna_phone_5G_serving_cell,"(-135.80100000000002, -103.6]",-108.0,55.29999923706055,0.699999988079071,239.10000610351562,36205
Vienna_phone_5G_serving_cell,"(-103.6, -99.3]",-101.3,23.5,0.6000000238418579,276.8999938964844,23740
Vienna_phone_5G_serving_cell,"(-99.3, -95.8]",-97.6,32.79999923706055,0.6000000238418579,231.3000030517578,21249
Vienna_phone_5G_serving_cell,"(-95.8, -92.6]",-94.3,19.549999237060547,0.699999988079071,217.10000610351562,21174
Vienna_phone_5G_serving_cell,"(-92.6, -89.6]",-91.0,1.600000023841858,0.6000000238418579,245.5,25497
Vienna_phone_5G_serving_cell,"(-89.6, -86.3]",-88.0,8.300000190734863,0.699999988079071,282.1000061035156,19910
Vienna_phone_5G_serving_cell,"(-86.3, -82.8]",-84.7,9.25,1.0,260.29998779296875,16522
Vienna_phone_5G_serving_cell,"(-82.8, -79.1]",-81.1,17.600000381469727,0.8999999761581421,198.6999969482422,14803
Vienna_phone_5G_serving_cell,"(-79.1, -74.4]",-76.8,97.19999694824219,1.0,249.10000610351562,10727
Vienna_phone_5G_serving_cell,"(-74.4, -48.4]",-71.2,2.5999999046325684,0.8999999761581421,198.8000030517578,10034
Vienna_phone_LTE,"(-135.80100000000002, -103.6]",-106.19999694824219,2.799999952316284,0.20000000298023224,20.299999237060547,87010
Vienna_phone_LTE,"(-103.6, -99.3]",-101.19999694824219,5.099999904632568,0.30000001192092896,25.600000381469727,111450
Vienna_phone_LTE,"(-99.3, -95.8]",-97.4000015258789,8.0,0.4000000059604645,31.200000762939453,114927
Vienna_phone_LTE,"(-95.8, -92.6]",-94.0999984741211,10.0,0.5,37.29999923706055,117469
Vienna_phone_LTE,"(-92.6, -89.6]",-91.0999984741211,11.0,0.6000000238418579,43.400001525878906,111589
Vienna_phone_LTE,"(-89.6, -86.3]",-87.9000015258789,11.899999618530273,0.6000000238418579,48.099998474121094,118616
Vienna_phone_LTE,"(-86.3, -82.8]",-84.5,13.300000190734863,0.699999988079071,55.20000076293945,122484
Vienna_phone_LTE,"(-82.8, -79.1]",-80.9000015258789,16.600000381469727,0.800000011920929,61.900001525878906,122190
Vienna_phone_LTE,"(-79.1, -74.4]",-76.9000015258789,23.0,0.8999999761581421,69.5999984741211,126979
Vienna_phone_LTE,"(-74.4, -48.4]",-70.80000305175781,36.400001525878906,1.100000023841858,86.5,123456
